observed_at_utc,monitor_elapsed_seconds,phase,host_swap_in_mib_s,host_swap_out_mib_s,host_swap_used_mib,app_cpu_pct,app_ps_rss_mib,sidecar_cpu_pct,sidecar_ps_rss_mib,host_process_count
2026-09-06T01:46:26.262782+00:00,0.0,pre-run,,,20067.69,0.0,14.65625,,,1034
2026-09-06T01:46:31.209665+00:00,5.005385,pre-run,11.119274,18.405176,20071.81,0.0,14.625,,,1039
2026-09-06T01:46:36.224549+00:00,10.010988,pre-run,8.649682,5.356498,20074.62,0.0,14.375,,,1035
2026-09-06T01:46:41.233323+00:00,15.012945,pre-run,14.84419,23.090962,20094.12,0.0,14.515625,,,1040
2026-09-06T01:46:46.228133+00:00,20.015197,pre-run,9.130263,8.97096,20099.0,0.0,14.46875,,,1035
2026-09-06T01:46:51.235044+00:00,25.020499,pre-run,4.963487,0.0,20091.0,0.0,14.421875,,,1037
2026-09-06T01:46:56.221685+00:00,30.020993,pre-run,9.286583,0.0,20035.0,0.0,14.53125,,,1028
2026-09-06T01:47:01.255714+00:00,35.026549,pre-run,3.305702,12.011653,20095.12,0.0,14.40625,,,1031
2026-09-06T01:47:06.227593+00:00,40.028504,pre-run,3.501756,0.262397,20072.44,0.0,14.515625,,,1029
2026-09-06T01:47:11.267010+00:00,45.034726,pre-run,3.139843,4.407016,20086.5,0.0,14.53125,,,1027
2026-09-06T01:47:16.248381+00:00,50.038893,pre-run,23.274354,12.976686,19999.44,0.0,14.265625,,,1026
2026-09-06T01:47:21.262857+00:00,55.039895,pre-run,50.480508,42.703942,19965.0,0.0,13.53125,,,1028
2026-09-06T01:47:26.265080+00:00,60.04299,pre-run,4.846999,0.0,19957.0,0.0,13.8125,,,1027
2026-09-06T01:47:31.268478+00:00,65.046487,pre-run,19.973533,37.261443,20031.44,0.0,13.046875,,,1027
2026-09-06T01:47:36.271668+00:00,70.052456,pre-run,9.585432,9.775829,20032.38,0.0,13.046875,,,1027
2026-09-06T01:47:41.288967+00:00,75.058317,pre-run,10.088174,12.148259,20029.19,0.0,13.296875,,,1027
2026-09-06T01:47:46.287172+00:00,80.059696,pre-run,5.651566,8.997518,20050.19,0.0,13.0625,,,1027
2026-09-06T01:47:51.274795+00:00,85.063995,pre-run,7.512291,0.0,20034.19,0.0,13.296875,,,1027
2026-09-06T01:47:56.297895+00:00,90.069812,pre-run,4.891185,0.0,20002.19,0.0,13.3125,,,1027
2026-09-06T01:48:01.299101+00:00,95.07446,pre-run,3.768372,0.0,19978.19,0.0,12.890625,,,1027
2026-09-06T01:48:06.293738+00:00,100.080178,pre-run,7.491432,0.0,19946.19,0.0,12.890625,,,1027
2026-09-06T01:48:11.321560+00:00,105.085863,pre-run,2.597047,1.223609,19936.31,0.0,13.140625,,,1028
2026-09-06T01:48:16.297618+00:00,110.087506,pre-run,3.780008,0.0,19928.31,0.0,12.875,,,1027
2026-09-06T01:48:21.318103+00:00,115.094144,pre-run,5.308577,18.562853,19998.06,0.0,12.875,,,1027
2026-09-06T01:48:26.301416+00:00,120.099291,pre-run,5.088512,4.170707,19986.12,0.0,13.0,,,1026
2026-09-06T01:48:31.319576+00:00,125.105085,pre-run,13.933854,6.192824,19953.12,14.6,44.125,,,1028
2026-09-06T01:48:36.333025+00:00,130.11058,pre-run,13.890984,14.072035,19943.56,0.0,55.359375,,,1029
2026-09-06T01:48:41.324999+00:00,135.116147,pre-run,2.487855,0.0,19927.56,0.0,39.421875,,,1030
2026-09-06T01:48:46.347346+00:00,140.122366,pre-run,9.063725,10.661737,19940.94,0.0,33.640625,,,1030
2026-09-06T01:48:51.331084+00:00,145.127676,interaction,6.633581,0.0,19924.94,0.0,37.5625,,,1030
2026-09-06T01:48:56.344739+00:00,150.133329,interaction,8.159524,19.52792,19958.69,0.0,31.5625,,,1030
2026-09-06T01:49:01.353331+00:00,155.136865,interaction,9.299673,18.724257,20004.38,24.1,67.609375,,,1030
2026-09-06T01:49:06.379484+00:00,160.142363,backend,12.64235,26.083821,20078.94,8.7,71.078125,61.3,175.15625,1031
